,RMSE,MAPE,MAE,R2
S0000153_Trường Tiểu học Trần Quốc Toản.csv,14.439548529516172,0.7876547040227297,9.555953077628061,0.18152092440104062
S0000346_Định Công.csv,12.424306946237422,0.5780554884438295,8.887992586539342,0.12458404428774417
S0000229_Quan Hoa.csv,12.958297892091707,0.7571845501127591,9.954758928143061,0.038189028558425764
S0000339_Kim Mã.csv,12.423175345925655,0.5773137218174292,9.405945851252628,0.08923979882768462
S0000310_Hàng Trống.csv,12.505329762883973,0.6850320497337601,8.189411415274327,0.2097840898645832
