,RMSE,MAPE,MAE,R2,output length
S0000153_Trường Tiểu học Trần Quốc Toản.csv,15.900733681336787,0.7098426110214995,10.363814449760149,0.0018980659720900794,12
S0000346_Định Công.csv,12.728921512530246,0.5198595394757958,8.863018783983193,0.07821651004627894,12
S0000229_Quan Hoa.csv,12.213803099571757,0.6156923485536736,8.960803028472565,0.1429905306237521,12
S0000339_Kim Mã.csv,11.883228955148912,0.4771141134079709,8.499116911528246,0.164308122151821,12
S0000310_Hàng Trống.csv,13.525587341335294,0.6885021734636021,8.862724773314016,0.07273888484966451,12
